Media Name,Media Url,Publish Date,Title,Article Url
foxnews.com,foxnews.com,2024-04-07,Mother of American abducted by Hamas: Cease-fire without releasing hostages 'is a death sentence to them',https://www.foxnews.com/politics/mother-american-abducted-hamas-cease-fire-without-releasing-hostages-death-sentence-them
nbcnews.com,nbcnews.com,2024-04-07,Israeli military pulls troops from southern Gaza,https://www.nbcnews.com/news/world/israeli-military-pulls-troops-southern-gaza-rcna146754
cnn.com,cnn.com,2024-04-07,‘I can’t believe we’re sitting here six months later’: Israeli-American hostage family speaks out,https://www.cnn.com/videos/politics/2024/04/07/sotu-neutras.cnn
nypost.com,nypost.com,2024-04-07,Did Israel surrender to White House pressure in Gaza? Iran likely thinks so,https://nypost.com/2024/04/07/opinion/did-israel-surrender-to-white-house-pressure-in-gaza-iran-likely-thinks-so/
foxnews.com,foxnews.com,2024-04-07,"Democratic senator hits admin for Israel messaging, says he's 'not clear' on WH position",https://www.foxnews.com/media/democratic-senator-hits-admin-for-israel-messaging-says-hes-not-clear-on-wh-position
foxnews.com,foxnews.com,2024-04-07,College at center of 'Free Palestine' library attack hit with student lawsuit: 'Pro-Hamas hate',https://www.foxnews.com/us/college-center-free-palestine-library-attack-hit-student-lawsuit-pro-hamas-hate
nypost.com,nypost.com,2024-04-07,Chef José Andrés skeptical about IDF account of strike that killed 7 World Central Kitchen workers,https://nypost.com/2024/04/07/world-news/world-central-kitchen-founder-chef-jose-andres-skeptical-about-idf-account-of-strike-that-killed-7-aid-workers/
foxnews.com,foxnews.com,2024-04-07,"'Death to America,' 'Death to Israel' chants pour out of Muslim protesters in Michigan on last day of Ramadan",https://www.foxnews.com/us/death-america-death-israel-chants-pour-muslim-protesters-michigan-last-day-ramadan
cnn.com,cnn.com,2024-04-07,Cindy McCain on Gaza crisis: ‘Children are dying as we speak’,https://www.cnn.com/videos/politics/2024/04/07/sotu-mccain-full-interview.cnn
nypost.com,nypost.com,2024-04-07,"Israeli military withdraws nearly all troops from southern Gaza, spokesperson says",https://nypost.com/2024/04/07/world-news/israeli-military-reduces-troops-in-southern-gaza-spokesperson-says/
nbcnews.com,nbcnews.com,2024-04-07,"Israel pulls troops from southern Gaza, South Carolina wins the NCAA championship: Weekend Rundown",https://www.nbcnews.com/news/weekend-rundown-apr-7-rcna146696
nypost.com,nypost.com,2024-04-07,"Biden bashes Israel over airstrike deaths: Letters to the Editor — April 8, 2024",https://nypost.com/2024/04/07/opinion/biden-bashes-israel-over-killing-of-7-aid-workers-letters/
nbcnews.com,nbcnews.com,2024-04-07,Iranian official warns Israel that its embassies are not safe after deadly Damascus strike,https://www.nbcnews.com/news/world/iranian-official-warns-israel-embassies-are-not-safe-deadly-damascus-s-rcna146758
nypost.com,nypost.com,2024-04-07,IDF chief says Israel is prepared for ‘multi-front war’ with Iranian proxies amid rising tensions,https://nypost.com/2024/04/07/world-news/idf-chief-says-israel-is-prepared-for-multi-front-war-with-iranian-proxies/
nypost.com,nypost.com,2024-04-07,Parents of hostage Hersh Goldberg-Polin mark six months since he was kidnapped by Hamas: ‘It’s totally unacceptable’,https://nypost.com/2024/04/07/world-news/parents-of-hostage-hersh-goldberg-polin-mark-six-months-since-he-was-kidnapped-by-hamas-its-totally-unacceptable/
foxnews.com,foxnews.com,2024-04-07,Top Dems turn on Israel after Biden call with Netanyahu,https://www.foxnews.com/politics/top-dems-turn-on-israel-after-biden-call-with-netanyahu
foxnews.com,foxnews.com,2024-04-07,Georgia college student arrested after making physical contact with speaker giving remarks on Israel-Hamas war,https://www.foxnews.com/us/georgia-college-student-arrested-after-making-physical-contact-speaker-giving-remarks-israel-hamas-war
foxnews.com,foxnews.com,2024-04-07,Hamas defector tells pro-Palestinian activists they belong in 'a mental asylum' in brutal debate,https://www.foxnews.com/media/hamas-defector-tells-pro-palestinian-activists-they-belong-in-a-mental-asylum-in-brutal-debate
nypost.com,nypost.com,2024-04-07,Father of humanitarian worker killed in Gaza urges Blinken to suspend aid to Israel,https://nypost.com/2024/04/07/us-news/father-of-humanitarian-worker-killed-in-gaza-urges-blinken-to-suspend-aid-to-israel/
nypost.com,nypost.com,2024-04-07,Family of ‘miracle’ 4-year-old American freed by Hamas continues to fight for other hostages,https://nypost.com/2024/04/07/us-news/family-of-miracle-4-year-old-american-freed-by-hamas-continues-to-fight-for-other-hostages/
nbcnews.com,nbcnews.com,2024-04-07,"Six months into the war in Gaza, everyone seems to be losing",https://www.nbcnews.com/news/world/six-months-israel-hamas-war-gaza-losing-rcna146693
foxnews.com,foxnews.com,2024-04-07,"Israel withdraws all ground troops from southern Gaza, leaving just one IDF brigade in the enclave",https://www.foxnews.com/world/israel-withdraws-all-ground-troops-southern-gaza-leaving-one-idf-brigade-enclave
nypost.com,nypost.com,2024-04-07,"Uncle of Israeli mom Shiri Bibas kidnapped with redhead boys demands Biden give Hamas an ultimatum: ‘Do something, or else’",https://nypost.com/2024/04/07/world-news/shiri-bibas-uncle-calls-on-biden-to-give-hamas-an-ultimatum/
cnn.com,cnn.com,2024-04-07,GOP Rep: ‘Overconfidence’ of Israel led to ‘unacceptable’ civilian deaths,https://www.cnn.com/videos/politics/2024/04/07/sotu-turner-on-israel-overconfidence.cnn
nypost.com,nypost.com,2024-04-06,"Six months into war, Israel has mostly succeeded — but the real battles are yet to come",https://nypost.com/2024/04/06/opinion/israels-war-has-mostly-succeeded-but-real-battles-await/
foxnews.com,foxnews.com,2024-04-06,Jewish students at Rutgers speak out in wake of latest anti-Israel incident on campus: 'Horrifying experience',https://www.foxnews.com/us/jewish-students-rutgers-speak-latest-anti-israel-incident-campus-horrifying-experience
foxnews.com,foxnews.com,2024-04-06,California college president cracks down on protesting pro-Palestinian students: 'Immediate suspension',https://www.foxnews.com/us/california-college-president-cracks-down-protesting-pro-palestinian-students-immediate-suspension
foxnews.com,foxnews.com,2024-04-06,Former defense secretary predicts Iran will strike at Israel,https://www.foxnews.com/politics/former-defense-secretary-predicts-iran-will-strike-israel
nypost.com,nypost.com,2024-04-06,"Hamas, Israel negotiators headed to Egypt to resume cease-fire talks",https://nypost.com/2024/04/06/world-news/hamas-israel-negotiators-headed-to-egypt-to-resume-ceasefire-talks/
nypost.com,nypost.com,2024-04-06,"The horror of being held hostage by Hamas and more: Letters to the Editor — April 7, 2024",https://nypost.com/2024/04/06/opinion/hamas-hostage-speaks-about-sexual-assault-letters/
nbcnews.com,nbcnews.com,2024-04-06,Israeli military recovers body of a hostage from Gaza in overnight operation,https://www.nbcnews.com/news/world/israeli-military-recovers-body-hostage-elad-katzir-gaza-rcna146695
cnn.com,cnn.com,2024-04-06,"April 6, 2024 Israel-Gaza news",https://edition.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-04-06-24/index.html
nypost.com,nypost.com,2024-04-06,California college president vows ‘immediate suspension’ for protesters after anti-Israel storm,https://nypost.com/2024/04/06/us-news/college-president-vows-immediate-suspension-for-protesters/
